ACCESSION,lab_id
ERS23798584,CAB11P
ERS23798585,CAL10A
ERS23798586,CAD10R
ERS23798587,CAG10C
ERS23798588,CAL10B
ERS23798589,CAM107
ERS23798590,CAC11T
ERS23798591,CAI102
ERS23798592,CAC116
ERS23798593,CAE10B
ERS23798594,CAG10F
ERS23798595,CAL10C
ERS23798596,CAC117
ERS23798597,CAC11U
ERS23798598,CAC118
ERS23798599,CAH107
ERS23798600,CAH108
ERS23798601,CAH109
ERS23798602,CAD10U
ERS23798603,CAD10P
ERS23798604,CAB13F
ERS23798605,CAE10G
ERS23798606,CAL10G
ERS23798607,CAE10H
ERS23798608,CAI104
ERS23798609,CAF100
ERS23798610,CAE10J
ERS23798611,CAC119
ERS23798612,CAD117
ERS23798613,CAD130
ERS23798614,CAM10I
ERS23798615,CAC125
ERS23798616,CAC11I
ERS23798617,CAC126
ERS23798618,CAF105
ERS23798619,CAG11A
ERS23798620,CAB153
ERS23798621,CAI10A
ERS23798622,CAI10B
ERS23798623,CAB11M
ERS23798624,CAM10J
ERS23798625,CAB10X
ERS23798626,CAB10Y
ERS23798627,CAB111
ERS23798628,CAC101
ERS23798629,CAC100
ERS23798630,CAC104
ERS23798631,CAC103
ERS23798632,CAC105
ERS23798633,CAD10N
ERS23798634,CAB10N
ERS23798635,CAB10P
ERS23798636,CAB114
ERS23798637,CAD100
ERS23798638,CAD101
ERS23798639,CAD102
ERS23798640,CAC109
ERS23798641,CAB10S
ERS23798642,CAC10A
ERS23798643,CAB11L
ERS23798644,CAD103
ERS23798645,CAD104
ERS23798646,CAB10T
ERS23798647,CAD105
ERS23798648,CAC10C
ERS23798649,CAB115
ERS23798650,CAB116
ERS23798651,CAB117
ERS23798652,CAB118
ERS23798653,CAD106
ERS23798654,CAI100
ERS23798655,CAC10D
ERS23798656,CAC10E
ERS23798657,CAC10F
ERS23798658,CAB11B
ERS23798659,CAC10H
ERS23798660,CAC10I
ERS23798661,CAC10G
ERS23798662,CAD10A
ERS23798663,CAL100
ERS23798664,CAE10A
ERS23798665,CAD109
ERS23798666,CAC10L
ERS23798667,CAD10B
ERS23798668,CAL102
ERS23798669,CAD108
ERS23798670,CAD10C
ERS23798671,CAD10E
ERS23798672,CAB16E
ERS23798673,CAE11S
ERS23798674,CAH10L
ERS23798675,CAC112
ERS23798676,CAF10U
ERS23798677,CAK10P
ERS23798678,CAB16J
ERS23798679,CAB16K
ERS23798680,CAB16G
ERS23798681,CAL113
ERS23798682,CAB16I
ERS23798683,CAB16H
ERS23798684,CAB16R
ERS23798685,CAH103
ERS23798686,CAE10E
ERS23798687,CAN106
ERS23798688,CAD12K
ERS23798689,CAD12I
ERS23798690,CAD12J
ERS23798691,CAD11T
ERS23798692,CAD12Q
ERS23798693,CAD12P
