Reads	Human_reads_removed
Sample_100-NC_2_I9_1.fastq.gz	22747
Sample_100-NC_2_I9_2.fastq.gz	22747
Sample_101-CAB11P_3A1_1.fastq.gz	42745758
Sample_101-CAB11P_3A1_2.fastq.gz	42745758
Sample_102-CAL10A_3A2_1.fastq.gz	116674
Sample_102-CAL10A_3A2_2.fastq.gz	116674
Sample_103-CAD10R_3A5_1.fastq.gz	77496
Sample_103-CAD10R_3A5_2.fastq.gz	77496
Sample_104-CAG10C_3A6_1.fastq.gz	1144676
Sample_104-CAG10C_3A6_2.fastq.gz	1144676
Sample_105-CAL10B_3A7_1.fastq.gz	25799
Sample_105-CAL10B_3A7_2.fastq.gz	25799
Sample_106-CAM107_3B1_1.fastq.gz	27071
Sample_106-CAM107_3B1_2.fastq.gz	27071
Sample_107-CAC11T_3B3_1.fastq.gz	353214
Sample_107-CAC11T_3B3_2.fastq.gz	353214
Sample_108-CAI102_3B5_1.fastq.gz	48626
Sample_108-CAI102_3B5_2.fastq.gz	48626
Sample_109-CAC116_3B6_1.fastq.gz	169298
Sample_109-CAC116_3B6_2.fastq.gz	169298
Sample_10-CAE10B_1B1_1.fastq.gz	207933
Sample_10-CAE10B_1B1_2.fastq.gz	207933
Sample_110-CAG10F_3C1_1.fastq.gz	78341
Sample_110-CAG10F_3C1_2.fastq.gz	78341
Sample_111-CAL10C_3C2_1.fastq.gz	47703
Sample_111-CAL10C_3C2_2.fastq.gz	47703
Sample_112-CAC117_3C4_1.fastq.gz	39559
Sample_112-CAC117_3C4_2.fastq.gz	39559
Sample_113-CAC11U_3C5_1.fastq.gz	15357479
Sample_113-CAC11U_3C5_2.fastq.gz	15357479
Sample_114-NC_3_D1_1.fastq.gz	25861
Sample_114-NC_3_D1_2.fastq.gz	25861
Sample_115-CAC118_3D2_1.fastq.gz	60059
Sample_115-CAC118_3D2_2.fastq.gz	60059
Sample_116-CAH107_3D3_1.fastq.gz	38837
Sample_116-CAH107_3D3_2.fastq.gz	38837
Sample_117-CAH108_3D4_1.fastq.gz	32992
Sample_117-CAH108_3D4_2.fastq.gz	32992
Sample_118-CAH109_3D5_1.fastq.gz	53524
Sample_118-CAH109_3D5_2.fastq.gz	53524
Sample_119-CAD10U_3E2_1.fastq.gz	31346
Sample_119-CAD10U_3E2_2.fastq.gz	31346
Sample_11-CAD10P_1B3_1.fastq.gz	1743746
Sample_11-CAD10P_1B3_2.fastq.gz	1743746
Sample_120-CAB13F_3E4_1.fastq.gz	5236359
Sample_120-CAB13F_3E4_2.fastq.gz	5236359
Sample_121-CAE10G_3E5_1.fastq.gz	227774
Sample_121-CAE10G_3E5_2.fastq.gz	227774
Sample_122-CAL10G_3E6_1.fastq.gz	4923832
Sample_122-CAL10G_3E6_2.fastq.gz	4923832
Sample_123-CAE10H_3E7_1.fastq.gz	44217
