TYPE	ACCESSION	ALIAS
SAMPLE	ERS23798584	CAB11P
SAMPLE	ERS23798585	CAL10A
SAMPLE	ERS23798586	CAD10R
SAMPLE	ERS23798587	CAG10C
SAMPLE	ERS23798588	CAL10B
SAMPLE	ERS23798589	CAM107
SAMPLE	ERS23798590	CAC11T
SAMPLE	ERS23798591	CAI102
SAMPLE	ERS23798592	CAC116
SAMPLE	ERS23798593	CAE10B
SAMPLE	ERS23798594	CAG10F
SAMPLE	ERS23798595	CAL10C
SAMPLE	ERS23798596	CAC117
SAMPLE	ERS23798597	CAC11U
SAMPLE	ERS23798598	CAC118
SAMPLE	ERS23798599	CAH107
SAMPLE	ERS23798600	CAH108
SAMPLE	ERS23798601	CAH109
SAMPLE	ERS23798602	CAD10U
SAMPLE	ERS23798603	CAD10P
SAMPLE	ERS23798604	CAB13F
SAMPLE	ERS23798605	CAE10G
SAMPLE	ERS23798606	CAL10G
SAMPLE	ERS23798607	CAE10H
SAMPLE	ERS23798608	CAI104
SAMPLE	ERS23798609	CAF100
SAMPLE	ERS23798610	CAE10J
SAMPLE	ERS23798611	CAC119
SAMPLE	ERS23798612	CAD117
SAMPLE	ERS23798613	CAD130
SAMPLE	ERS23798614	CAM10I
SAMPLE	ERS23798615	CAC125
SAMPLE	ERS23798616	CAC11I
SAMPLE	ERS23798617	CAC126
SAMPLE	ERS23798618	CAF105
SAMPLE	ERS23798619	CAG11A
SAMPLE	ERS23798620	CAB153
SAMPLE	ERS23798621	CAI10A
SAMPLE	ERS23798622	CAI10B
SAMPLE	ERS23798623	CAB11M
SAMPLE	ERS23798624	CAM10J
SAMPLE	ERS23798625	CAB10X
SAMPLE	ERS23798626	CAB10Y
SAMPLE	ERS23798627	CAB111
SAMPLE	ERS23798628	CAC101
SAMPLE	ERS23798629	CAC100
SAMPLE	ERS23798630	CAC104
SAMPLE	ERS23798631	CAC103
SAMPLE	ERS23798632	CAC105
SAMPLE	ERS23798633	CAD10N
SAMPLE	ERS23798634	CAB10N
SAMPLE	ERS23798635	CAB10P
SAMPLE	ERS23798636	CAB114
SAMPLE	ERS23798637	CAD100
SAMPLE	ERS23798638	CAD101
SAMPLE	ERS23798639	CAD102
SAMPLE	ERS23798640	CAC109
SAMPLE	ERS23798641	CAB10S
SAMPLE	ERS23798642	CAC10A
SAMPLE	ERS23798643	CAB11L
SAMPLE	ERS23798644	CAD103
SAMPLE	ERS23798645	CAD104
SAMPLE	ERS23798646	CAB10T
SAMPLE	ERS23798647	CAD105
SAMPLE	ERS23798648	CAC10C
SAMPLE	ERS23798649	CAB115
SAMPLE	ERS23798650	CAB116
SAMPLE	ERS23798651	CAB117
SAMPLE	ERS23798652	CAB118
SAMPLE	ERS23798653	CAD106
SAMPLE	ERS23798654	CAI100
SAMPLE	ERS23798655	CAC10D
SAMPLE	ERS23798656	CAC10E
SAMPLE	ERS23798657	CAC10F
SAMPLE	ERS23798658	CAB11B
SAMPLE	ERS23798659	CAC10H
SAMPLE	ERS23798660	CAC10I
SAMPLE	ERS23798661	CAC10G
SAMPLE	ERS23798662	CAD10A
SAMPLE	ERS23798663	CAL100
SAMPLE	ERS23798664	CAE10A
SAMPLE	ERS23798665	CAD109
SAMPLE	ERS23798666	CAC10L
SAMPLE	ERS23798667	CAD10B
SAMPLE	ERS23798668	CAL102
SAMPLE	ERS23798669	CAD108
SAMPLE	ERS23798670	CAD10C
SAMPLE	ERS23798671	CAD10E
SAMPLE	ERS23798672	CAB16E
SAMPLE	ERS23798673	CAE11S
SAMPLE	ERS23798674	CAH10L
SAMPLE	ERS23798675	CAC112
SAMPLE	ERS23798676	CAF10U
SAMPLE	ERS23798677	CAK10P
SAMPLE	ERS23798678	CAB16J
SAMPLE	ERS23798679	CAB16K
SAMPLE	ERS23798680	CAB16G
SAMPLE	ERS23798681	CAL113
SAMPLE	ERS23798682	CAB16I
SAMPLE	ERS23798683	CAB16H
SAMPLE	ERS23798684	CAB16R
SAMPLE	ERS23798685	CAH103
SAMPLE	ERS23798686	CAE10E
SAMPLE	ERS23798687	CAN106
SAMPLE	ERS23798688	CAD12K
SAMPLE	ERS23798689	CAD12I
SAMPLE	ERS23798690	CAD12J
SAMPLE	ERS23798691	CAD11T
SAMPLE	ERS23798692	CAD12Q
SAMPLE	ERS23798693	CAD12P
SAMPLE	ERS23798694	CAJ10Q
SAMPLE	ERS23798695	CAM117
SAMPLE	ERS23798696	CAN10V
SAMPLE	ERS23798697	CAL109
SAMPLE	ERS23798698	CAB192
SAMPLE	ERS23798699	CAM118
SAMPLE	ERS23798700	CAD14M
SAMPLE	ERS23798701	CAD14P
SAMPLE	ERS23798702	CAC14B
SAMPLE	ERS23798703	CAD14J
SAMPLE	ERS23798704	CAC14A
SAMPLE	ERS23798705	CAC148
SAMPLE	ERS23798706	CAC147
SAMPLE	ERS23798707	CAH102
SAMPLE	ERS23798708	CAB18W
SAMPLE	ERS23798709	CAB18U
SAMPLE	ERS23798710	CAB18S
SAMPLE	ERS23798711	CAB18H
SAMPLE	ERS23798712	CAB18A
SAMPLE	ERS23798713	CAB188
SAMPLE	ERS23798714	CAB18X
SAMPLE	ERS23798715	CAC14C
SAMPLE	ERS23798716	CAC14D
SAMPLE	ERS23798717	CAD14L
SAMPLE	ERS23798718	CAE109
SAMPLE	ERS23798719	CAD12D
SAMPLE	ERS23798720	CAL107
SAMPLE	ERS23798721	CAD10L
SAMPLE	ERS23798722	CAE107
SAMPLE	ERS23798723	CAC10W
SAMPLE	ERS23798724	CAB11G
SAMPLE	ERS23798725	CAC10Y
SAMPLE	ERS23798726	CAB11I
SAMPLE	ERS23798727	CAM103
SAMPLE	ERS23798728	CAC111
SAMPLE	ERS23798729	CAE10U
SAMPLE	ERS23798730	CAC12D
SAMPLE	ERS23798731	CAE10X
SAMPLE	ERS23798732	CAE10W
SAMPLE	ERS23798733	CAI10F
SAMPLE	ERS23798734	CAE10V
SAMPLE	ERS23798735	CAG11T
SAMPLE	ERS23798736	CAC11N
SAMPLE	ERS23798737	CAD13T
SAMPLE	ERS23798738	CAB15M
SAMPLE	ERS23798739	CAM104
SAMPLE	ERS23798740	CAG11S
SAMPLE	ERS23798741	CAD135
SAMPLE	ERS23798742	CAB15X
SAMPLE	ERS23798743	CAJ105
SAMPLE	ERS23798744	CAJ104
SAMPLE	ERS23798745	CAE10Z
SAMPLE	ERS23798746	CAH117
SAMPLE	ERS23798747	CAB15Y
SAMPLE	ERS23798748	CAC11P
SAMPLE	ERS23798749	CAC11Q
SAMPLE	ERS23798750	CAB15Z
